station_id,reference_key,source_sheet,source_row,station_code,station_name,latitude,longitude,return_period_yr,duration_min,existing_value,gridf_value,bias_pct,K,a,b,c,K_r,a_r,b_r,c_r
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,2,10080,0.036295748945350384,0.9087155984592565,2403.6419549503917,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,5,10080,0.04472868025599119,1.1008085421954525,2361.0798617247474,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,10,10080,0.05238668570829765,1.2726634149023466,2329.3642510405393,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,25,10080,0.06455817507018877,1.5416911086807454,2288.0648841213247,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,50,10080,0.07561119192311143,1.78237522320194,2257.2902077967856,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,75,10080,0.08293443519218968,1.9402281824525893,2239.4723530176157,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,100,10080,0.08855659779443756,2.0606342077192545,2226.9121206558902,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,500,10080,0.12781625371716213,2.885934578549177,2157.8776130736155,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,2,2880,0.19577707199638775,2.380522759955936,1115.9354186274984,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,5,2880,0.2412637928470788,2.8837402961864997,1095.2644290949668,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,10,2880,0.28257061054196464,3.3339410373003706,1079.8612144787244,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,25,2880,0.3482228871403645,4.0387011945858715,1059.8034890101635,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,50,2880,0.4078421907522034,4.669210909120319,1044.8572548388543,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,75,2880,0.4473433215015955,5.082731446084465,1036.2037168730453,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
standard_row261,standard,Standard,261,1853000,Fazenda Taquari,-17.8111,-53.28889999,100,2880,0.47766892613956463,5.398153877557096,1030.1036308105733,7964.394,0.228,21.612,1.351,943.5822143554688,0.2092873454093933,2.727005958557129,0.7691503763198853
